coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375285,329978,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.27180604.jpg,A3L1IIBIKBL107,19704,False,1060,362,flower,2024-04-17,15:50:32,False
N.A,Rudbeckia_occidentalis,9375383,329975,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.24701513.jpg,0,1,0,False,1,8,A3L1IIBIKBL107,19704,5.24,2024-04-17,15:50:48,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375377,329975,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.24701513.jpg,A3L1IIBIKBL107,19704,False,570,240,flower,2024-04-17,15:50:47,False
N.A,Rudbeckia_occidentalis,9375444,329973,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.24637890.jpg,0,1,0,False,1,9,A3L1IIBIKBL107,19704,9.51,2024-04-17,15:51:00,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375415,329973,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.24637890.jpg,A3L1IIBIKBL107,19704,False,667,384,flower,2024-04-17,15:50:54,False
N.A,Rudbeckia_occidentalis,9375476,329976,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.25292114.jpg,0,1,0,True,1,10,A3L1IIBIKBL107,19704,6.42,2024-04-17,15:51:08,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A.,Rudbeckia_occidentalis,9375464,329976,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.25292114.jpg,A3L1IIBIKBL107,19704,True,857.3333333333334,578.6666666666666,flower,2024-04-17,15:51:05,False
N.A,Rudbeckia_occidentalis,9375585,329972,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.19803053.jpg,0,1,0,False,2,1,A3L1IIBIKBL107,19704,5.14,2024-04-17,15:51:24,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375580,329972,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.19803053.jpg,A3L1IIBIKBL107,19704,False,935,466,flower,2024-04-17,15:51:23,False
N.A,Rudbeckia_occidentalis,9375695,329970,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.16882757.jpg,0,2,0,False,2,2,A3L1IIBIKBL107,19704,11.44,2024-04-17,15:51:39,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375628,329970,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.16882757.jpg,A3L1IIBIKBL107,19704,False,818,578,flower,2024-04-17,15:51:30,False
,N.A.,Rudbeckia_occidentalis,9375637,329970,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.16882757.jpg,A3L1IIBIKBL107,19704,False,460,750,flower,2024-04-17,15:51:31,False
N.A,Rudbeckia_occidentalis,9375771,329965,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.5758036.jpg,0,1,0,False,2,3,A3L1IIBIKBL107,19704,7.7,2024-04-17,15:51:50,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375764,329965,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.5758036.jpg,A3L1IIBIKBL107,19704,False,873,512,flower,2024-04-17,15:51:49,False
N.A,Rudbeckia_occidentalis,9375831,329967,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.6556920.jpg,0,1,0,False,2,4,A3L1IIBIKBL107,19704,5.03,2024-04-17,15:51:59,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375824,329967,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.6556920.jpg,A3L1IIBIKBL107,19704,False,880,245,flower,2024-04-17,15:51:58,False
N.A,Rudbeckia_occidentalis,9375894,329969,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.16882756.jpg,0,1,0,False,2,5,A3L1IIBIKBL107,19704,5.63,2024-04-17,15:52:08,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375885,329969,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.16882756.jpg,A3L1IIBIKBL107,19704,False,563,209,flower,2024-04-17,15:52:07,False
N.A,Rudbeckia_occidentalis,9375960,329968,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.8629453.jpg,0,1,0,False,2,6,A3L1IIBIKBL107,19704,6.59,2024-04-17,15:52:17,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375934,329968,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.8629453.jpg,A3L1IIBIKBL107,19704,False,754,329,flower,2024-04-17,15:52:13,False
N.A,Rudbeckia_occidentalis,9376092,329971,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.16882759.jpg,0,1,0,False,2,7,A3L1IIBIKBL107,19704,11.81,2024-04-17,15:52:34,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9375998,329971,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.16882759.jpg,A3L1IIBIKBL107,19704,False,857,489,flower,2024-04-17,15:52:23,False
N.A,Rudbeckia_occidentalis,9376153,329968,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.8629453.jpg,0,1,0,True,2,8,A3L1IIBIKBL107,19704,7.5,2024-04-17,15:52:42,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A.,Rudbeckia_occidentalis,9376149,329968,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.8629453.jpg,A3L1IIBIKBL107,19704,True,757,310,flower,2024-04-17,15:52:42,False
N.A,Rudbeckia_occidentalis,9376236,329964,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4783582.jpg,0,1,0,False,2,9,A3L1IIBIKBL107,19704,9.64,2024-04-17,15:52:59,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9376200,329964,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4783582.jpg,A3L1IIBIKBL107,19704,False,1090,452,flower,2024-04-17,15:52:50,False
N.A,Rudbeckia_occidentalis,9376308,329966,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.6067197.jpg,0,1,0,False,2,10,A3L1IIBIKBL107,19704,5.36,2024-04-17,15:53:11,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9376292,329966,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.6067197.jpg,A3L1IIBIKBL107,19704,False,524,480,flower,2024-04-17,15:53:08,False
N.A,Rudbeckia_occidentalis,9376404,329955,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4703414.jpg,0,1,0,False,3,1,A3L1IIBIKBL107,19704,9.46,2024-04-17,15:53:31,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9376359,329955,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4703414.jpg,A3L1IIBIKBL107,19704,False,877,416,flower,2024-04-17,15:53:22,False
N.A,Rudbeckia_occidentalis,9376503,329961,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4762404.jpg,0,1,0,False,3,2,A3L1IIBIKBL107,19704,20.36,2024-04-17,15:53:55,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9376413,329961,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4762404.jpg,A3L1IIBIKBL107,19704,False,814,430,flower,2024-04-17,15:53:37,False
N.A,Rudbeckia_occidentalis,9376554,329956,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4703470.jpg,0,1,0,False,3,3,A3L1IIBIKBL107,19704,7.25,2024-04-17,15:54:06,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9376553,329956,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4703470.jpg,A3L1IIBIKBL107,19704,False,302,235,flower,2024-04-17,15:54:06,False
N.A,Rudbeckia_occidentalis,9376600,329962,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4781190.jpg,0,2,0,False,3,4,A3L1IIBIKBL107,19704,6.6,2024-04-17,15:54:17,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9376578,329962,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4781190.jpg,A3L1IIBIKBL107,19704,False,911,523,flower,2024-04-17,15:54:13,False
,N.A.,Rudbeckia_occidentalis,9376579,329962,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4781190.jpg,A3L1IIBIKBL107,19704,False,936,547,flower,2024-04-17,15:54:13,False
N.A,Rudbeckia_occidentalis,9376976,329958,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4704086.jpg,0,2,0,False,3,5,A3L1IIBIKBL107,19704,54.16,2024-04-17,15:55:15,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9376633,329958,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4704086.jpg,A3L1IIBIKBL107,19704,False,965.3333333333334,537.3333333333334,flower,2024-04-17,15:54:21,False
,N.A.,Rudbeckia_occidentalis,9376642,329958,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4704086.jpg,A3L1IIBIKBL107,19704,False,1089.3333333333333,264,flower,2024-04-17,15:54:22,False
N.A,Rudbeckia_occidentalis,9377132,329960,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4732836.jpg,0,2,0,False,3,6,A3L1IIBIKBL107,19704,14.08,2024-04-17,15:55:34,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9377029,329960,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4732836.jpg,A3L1IIBIKBL107,19704,False,347,231,flower,2024-04-17,15:55:20,False
,N.A.,Rudbeckia_occidentalis,9377032,329960,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4732836.jpg,A3L1IIBIKBL107,19704,False,299,249,flower,2024-04-17,15:55:21,False
N.A,Rudbeckia_occidentalis,9377207,329963,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4781691.jpg,0,1,0,False,3,7,A3L1IIBIKBL107,19704,5.88,2024-04-17,15:55:44,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9377171,329963,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4781691.jpg,A3L1IIBIKBL107,19704,False,177,385,flower,2024-04-17,15:55:41,False
N.A,Rudbeckia_occidentalis,9377277,329957,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4703800.jpg,0,1,0,False,3,8,A3L1IIBIKBL107,19704,5.59,2024-04-17,15:55:53,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9377260,329957,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4703800.jpg,A3L1IIBIKBL107,19704,False,222,332,flower,2024-04-17,15:55:50,False
N.A,Rudbeckia_occidentalis,9377344,329959,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4704283.jpg,0,1,0,False,3,9,A3L1IIBIKBL107,19704,5.71,2024-04-17,15:56:02,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Rudbeckia_occidentalis,9377322,329959,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4704283.jpg,A3L1IIBIKBL107,19704,False,474,454,flower,2024-04-17,15:55:59,False
N.A,Rudbeckia_occidentalis,9377391,329958,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4704086.jpg,0,1,0,True,3,10,A3L1IIBIKBL107,19704,6.04,2024-04-17,15:56:10,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A.,Rudbeckia_occidentalis,9377385,329958,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4704086.jpg,A3L1IIBIKBL107,19704,True,903,223,flower,2024-04-17,15:56:09,False
N.A,Rudbeckia_occidentalis,9377503,329952,https://crowdcurio-experiment-images.s3.amazonaws.com/Rudbeckia_occidentalis/images/Rudbeckia_occidentalis.4703024.jpg,0,1,0,False,4,1,A3L1IIBIKBL107,19704,7.39,2024-04-17,15:56:28,False
